id,name,blurb, goal ,pledged,outcomes,country,currency,deadline,launched_at,staff_pick,backers_count,spotlight,Category and Subcategory,Percentage Funded,Average Donation,Parent Category,Subcategory,Date Created Conversion,Date Ended Conversion,Years
245,We Lived Alone: The Connie Converse Documentary,"""Human society fascinates me & awes me & fills me with grief & joy; I just can't find my place to plug into it."" - C. Converse, 8/10/74","$5,000.00 ","$5,186.00 ",successful,US,USD,1345079785,1342487785,TRUE,96,TRUE,film & video/documentary,104,54.02,film & video,documentary,7/17/2012,8/16/2012,2012
246,LEAVING ATLANTA THE FILM,From 1979 to 1981 twenty-nine Black children in Atlanta were murdered and the others terrified. This is our story...,"$5,000.00 ","$15,273.00 ",successful,US,USD,1292665405,1288341805,TRUE,223,TRUE,film & video/documentary,305,68.49,film & video,documentary,10/29/2010,12/18/2010,2010
247,Deja-Vu: Dissecting Memory on Camera,"A young neuroscientist attempts to reconnect with his ailing father by obsessively studying old family footage.
","$5,000.00 ","$6,705.00 ",successful,US,USD,1287200340,1284042614,TRUE,62,TRUE,film & video/documentary,134,108.15,film & video,documentary,9/9/2010,10/16/2010,2010
248,Far Out Isn't Far Enough: The Tomi Ungerer Story,"FAR OUT ISN'T FAR ENOUGH depicts one man's wild, lifelong adventure of testing societal boundaries through his use of subversive art.","$85,000.00 ","$86,133.00 ",successful,US,USD,1325961309,1322073309,TRUE,146,TRUE,film & video/documentary,101,589.95,film & video,documentary,11/23/2011,1/7/2012,2011
249,Bee the Change National Campaign - Vanishing of the Bees documentary,"Bee The Change Campaign utilizes the documentary Vanishing of the Bees to raise awareness about bees and our environment, inspiring people into action","$10,000.00 ","$11,292.00 ",successful,US,USD,1282498800,1275603020,TRUE,235,TRUE,film & video/documentary,113,48.05,film & video,documentary,6/3/2010,8/22/2010,2010
250,BOONE- THE DOCUMENTARY,Three young farmers risk land and friendship to stand up to the USDA. An experiential film about living a life of self reliance.,"$30,000.00 ","$31,675.00 ",successful,US,USD,1370525691,1367933691,TRUE,437,TRUE,film & video/documentary,106,72.48,film & video,documentary,5/7/2013,6/6/2013,2013
251,The Way Back to Yarasquin: A Coffee Pilgrimage,"Remarkably devoted, Mayra is single-handedly sourcing small farm, single-origin coffee from her rural village in Honduras.","$3,500.00 ","$4,395.00 ",successful,US,USD,1337194800,1334429646,TRUE,77,TRUE,film & video/documentary,126,57.08,film & video,documentary,4/14/2012,5/16/2012,2012
252,Good Grief: Making CARTOON COLLEGE - a documentary about comics,The definitive story of indie comics and the foremost institution of higher learning for those who draw them.,"$5,000.00 ","$9,228.00 ",successful,US,USD,1275364740,1269878058,TRUE,108,TRUE,film & video/documentary,185,85.44,film & video,documentary,3/29/2010,6/1/2010,2010
253,Leon Claxton's HARLEM IN HAVANA,A so-called “Jig Show” innovates music and theatre and gives birth to entertainment icons that would one day write American pop culture,"$1,500.00 ","$1,511.00 ",successful,US,USD,1329320235,1326728235,TRUE,7,TRUE,film & video/documentary,101,215.86,film & video,documentary,1/16/2012,2/15/2012,2012
254,"""I Clown You"" Documentary","""I Clown You"" is a documentary about Israeli medical clowns and clowning as an art of challenging the norm.","$24,000.00 ","$28,067.34 ",successful,US,USD,1445047200,1442443910,TRUE,314,TRUE,film & video/documentary,117,89.39,film & video,documentary,9/16/2015,10/17/2015,2015
255,xoxosms: a documentary about love in the 21st century,"xoxosms is a documentary about first love, long distance and Skype.","$8,000.00 ","$8,538.66 ",successful,US,USD,1300275482,1297687082,TRUE,188,TRUE,film & video/documentary,107,45.42,film & video,documentary,2/14/2011,3/16/2011,2011
256,POW WOW: Share the arts community of Hawaii,"Help share the art and community of Pow Wow, a contemporary art movement in Hawaii, with the rest of the world. #powwowhawaii","$13,000.00 ","$18,083.00 ",successful,US,USD,1363458467,1360866467,TRUE,275,TRUE,film & video/documentary,139,65.76,film & video,documentary,2/14/2013,3/16/2013,2013
257,Mother to Earth - A Documentary about Earthbound Beginnings,"A documentary about a formerly Japan-only Nintendo game, its international release, and the secret black market of unreleased games.","$35,000.00 ","$37,354.27 ",successful,US,USD,1463670162,1461078162,TRUE,560,TRUE,film & video/documentary,107,66.7,film & video,documentary,4/19/2016,5/19/2016,2016
258,HOW TO START A REVOLUTION a new documentary film,"This film reveals the story of the modern revolution, the power of people to change their world and the man behind it all, Gene Sharp.","$30,000.00 ","$57,342.00 ",successful,US,USD,1308359666,1305767666,TRUE,688,TRUE,film & video/documentary,191,83.35,film & video,documentary,5/19/2011,6/18/2011,2011
259,The Colossus Of Destiny - A Melvins Tale,"A tale about a band who have journeyed through time, dodging hype and mediocrity, and still managed to survive even stronger than ever.","$75,000.00 ","$98,953.42 ",successful,US,USD,1428514969,1425922969,TRUE,942,TRUE,film & video/documentary,132,105.05,film & video,documentary,3/9/2015,4/8/2015,2015
260,Escaramuza: Riding from the Heart (a feature documentary),"In the traditional world of Mexican Rodeo, a team of first-generation California girls does it their way.","$10,000.00 ","$10,640.00 ",successful,US,USD,1279360740,1275415679,TRUE,88,TRUE,film & video/documentary,106,120.91,film & video,documentary,6/1/2010,7/17/2010,2010
261,Empires: The Film,Empires explores the impact of networks on histories and philosophies of political thought.,"$20,000.00 ","$21,480.00 ",successful,US,USD,1339080900,1334783704,TRUE,220,TRUE,film & video/documentary,107,97.64,film & video,documentary,4/18/2012,6/7/2012,2012
262,The Last Cosmonaut,"He can never die. He will live forever. He is the last cosmonaut, and this is his story.","$2,500.00 ","$6,000.00 ",successful,US,USD,1298699828,1294811828,TRUE,145,TRUE,film & video/documentary,240,41.38,film & video,documentary,1/12/2011,2/26/2011,2011
263,AMERICAN WINTER: A Documentary Film,"We need $75,000 to finish this film on families struggling in the worst
economy in 80 years, while facing huge cuts to social services.","$25,000.00 ","$29,520.27 ",successful,US,USD,1348786494,1346194494,TRUE,963,TRUE,film & video/documentary,118,30.65,film & video,documentary,8/28/2012,9/27/2012,2012
264,"A Moment in Her Story,  1970s Boston Women's Movement","The U.S. women's movement changed the social and cultural dialog
in this country and Boston was one of the centers of this movement.","$5,000.00 ","$5,910.00 ",successful,US,USD,1336747995,1334155995,TRUE,91,TRUE,film & video/documentary,118,64.95,film & video,documentary,4/11/2012,5/11/2012,2012
265,The Garden Summer,"A documentary: a summer garden and communities of local food exchange. The integration of old and new, beauty and function, growth and sustainability.","$5,000.00 ","$5,555.00 ",successful,US,USD,1273522560,1269928430,TRUE,58,TRUE,film & video/documentary,111,95.78,film & video,documentary,3/30/2010,5/10/2010,2010
266,The Eventful Life of Al Hawkes,"The Eventful Life of Al Hawkes is a documentary film about New England country music, told through the story of a Maine record label and its founder.","$1,000.00 ","$1,455.00 ",successful,US,USD,1271994660,1264565507,TRUE,36,TRUE,film & video/documentary,146,40.42,film & video,documentary,1/27/2010,4/23/2010,2010
267,Uncharted Amazon,"A visually stunning, feature length film chronicling life's challenges in the remote depths of the Amazon rainforest.","$9,850.00 ","$12,965.44 ",successful,GB,GBP,1403693499,1401101499,TRUE,165,TRUE,film & video/documentary,132,78.58,film & video,documentary,5/26/2014,6/25/2014,2014
268,La Tierra de los Adioses,"Help us finish a documentary about four teens coming-of-age in a small, rural Mexican town that has suffered 50% migration to the U.S.","$5,000.00 ","$5,570.00 ",successful,US,USD,1320640778,1316749178,TRUE,111,TRUE,film & video/documentary,111,50.18,film & video,documentary,9/23/2011,11/7/2011,2011
269,Islam and the Future of Tolerance: The Movie,"This documentary tells the story of an unlikely conversation on a topic of grave importance, and how it changed two foes into friends.","$100,000.00 ","$147,233.77 ",successful,AU,AUD,1487738622,1485146622,TRUE,1596,TRUE,film & video/documentary,147,92.25,film & video,documentary,1/23/2017,2/22/2017,2017
270,rock on: inside the archive of an unlikely rock photographer,"Journey behind the lens of the legendary Jini Dellaccio, one of the first women rock ‘n’ roll photographers.","$2,300.00 ","$3,510.00 ",successful,US,USD,1306296000,1301950070,TRUE,61,TRUE,film & video/documentary,153,57.54,film & video,documentary,4/4/2011,5/25/2011,2011
271,The Mathare Project,A documentary shot over 12 years about the hopes and dreams of five orphans struggling to reach adulthood in Kenya's Mathare slum.,"$30,000.00 ","$31,404.00 ",successful,US,USD,1388649600,1386123861,TRUE,287,TRUE,film & video/documentary,105,109.42,film & video,documentary,12/4/2013,1/2/2014,2013
272,Do It Again... Promoting the Film About My Irrational Quest to Reunite the Kinks,"We made 'Do It Again,' a film about my quest to reunite the '60s rock band, The Kinks. Now we need help to show the film off at festivals.","$3,000.00 ","$5,323.01 ",successful,US,USD,1272480540,1267220191,TRUE,65,TRUE,film & video/documentary,177,81.89,film & video,documentary,2/26/2010,4/28/2010,2010
273,The Man Who Ate New Orleans (and rebuilt it too!),"Man vs. Food meets Extreme Home Makeover! A celebration of the food, music, and rebuilding of New Orleans, and a history-making quest.","$5,000.00 ","$5,388.79 ",successful,US,USD,1309694266,1307102266,TRUE,118,TRUE,film & video/documentary,108,45.67,film & video,documentary,6/3/2011,7/3/2011,2011
274,In Search of Nabad (Documentary Film),An intimate documentary sharing the powerful voices of Seattle's Somali refugees and their search for peace in their new home.,"$4,000.00 ","$6,240.00 ",successful,US,USD,1333609140,1330638829,TRUE,113,TRUE,film & video/documentary,156,55.22,film & video,documentary,3/1/2012,4/5/2012,2012
275,Finding the Funk,A journey through the origins and influence of funk music from James Brown to D'Angelo we are FINDING THE FUNK!,"$20,000.00 ","$21,679.00 ",successful,US,USD,1352511966,1349916366,TRUE,332,TRUE,film & video/documentary,108,65.3,film & video,documentary,10/11/2012,11/10/2012,2012
276,Abalimi,"A film about Xhosa women in townships of South Africa micro-farming to fight extreme poverty, gain health, and create food security.","$4,000.00 ","$5,904.00 ",successful,US,USD,1335574674,1330394274,TRUE,62,TRUE,film & video/documentary,148,95.23,film & video,documentary,2/28/2012,4/28/2012,2012
277,Pressing On: The Letterpress Film,A documentary about the survival of letterpress and the remarkable printers who preserve the history and knowledge of the craft.,"$65,000.00 ","$71,748.00 ",successful,US,USD,1432416219,1429824219,TRUE,951,TRUE,film & video/documentary,110,75.44,film & video,documentary,4/23/2015,5/23/2015,2015
278,The Babushkas of Chernobyl,"An unlikely story of spirit, defiance and beauty from the most contaminated place on Earth","$27,000.00 ","$40,594.00 ",successful,US,USD,1350003539,1347411539,TRUE,415,TRUE,film & video/documentary,150,97.82,film & video,documentary,9/12/2012,10/12/2012,2012
279,Instructions on Parting,This documentary film is an intimate portrait of love and loss that observes family and nature undergoing the cycle of birth to death.,"$17,000.00 ","$26,744.11 ",successful,US,USD,1488160860,1485237096,TRUE,305,TRUE,film & video/documentary,157,87.69,film & video,documentary,1/24/2017,2/27/2017,2017
280,Korengal Theatrical Release,"My latest film Korengal, takes us back to the same valley with the same troops as in my Academy Award® nominated film Restrepo.","$75,000.00 ","$117,108.00 ",successful,US,USD,1401459035,1397571035,TRUE,2139,TRUE,film & video/documentary,156,54.75,film & video,documentary,4/15/2014,5/30/2014,2014
281,Do It Again: One Man's Quest to Reunite the Kinks,"Last May, I created my mission: To reunite the brilliant but (in my opinion) under-appreciated band, the Kinks. I decided to make...","$5,500.00 ","$6,632.32 ",successful,US,USD,1249932360,1242532513,TRUE,79,TRUE,film & video/documentary,121,83.95,film & video,documentary,5/17/2009,8/10/2009,2009
282,Greenlight the PATROL BASE JAKER Movie,See US Marines make counter-insurgency work in Helmand Province--the Taliban's stronghold in Afghanistan.,"$45,000.00 ","$45,535.00 ",successful,US,USD,1266876000,1263679492,TRUE,179,TRUE,film & video/documentary,101,254.39,film & video,documentary,1/16/2010,2/22/2010,2010
283,SOLE SURVIVOR,What is the impact of survivorship on the human condition?,"$18,000.00 ","$20,569.05 ",successful,US,USD,1306904340,1305219744,TRUE,202,TRUE,film & video/documentary,114,101.83,film & video,documentary,5/12/2011,6/1/2011,2011
284,Wisconsin Rising,A film documenting WI Gov.Scott Walker's attack on working families and how it is reanimating the American labor movement.,"$40,000.00 ","$41,850.46 ",successful,US,USD,1327167780,1325007780,TRUE,760,TRUE,film & video/documentary,105,55.07,film & video,documentary,12/27/2011,1/21/2012,2011
285,The Phantom Tollbooth: Beyond Expectations - Final Push,"A documentary about the classic children's book, its creators, and the lasting impact over half a century and beyond.","$14,000.00 ","$32,035.51 ",successful,US,USD,1379614128,1377022128,TRUE,563,TRUE,film & video/documentary,229,56.9,film & video,documentary,8/20/2013,9/19/2013,2013
286,George Tice: Seeing Beyond the Moment,"A documentary film on the life of legendary photographer George Tice by Peter Bosco, Bruce Wodder and Douglas Underdahl.","$15,000.00 ","$16,373.00 ",successful,US,USD,1364236524,1360352124,TRUE,135,TRUE,film & video/documentary,109,121.28,film & video,documentary,2/8/2013,3/25/2013,2013
287,In Country: A Documentary Film (POSTPRODUCTION),War is hell. Why would anyone want to spend their weekends there?,"$15,000.00 ","$26,445.00 ",successful,US,USD,1351828800,1349160018,TRUE,290,TRUE,film & video/documentary,176,91.19,film & video,documentary,10/2/2012,11/2/2012,2012
288,Oxyana - A Feature Documentary Directed by Sean Dunne,"A portrait of Oceana, WV, an old coal mining town that has become the epicenter of the Oxycontin epidemic, earning the nickname Oxyana.","$50,000.00 ","$51,605.31 ",successful,US,USD,1340683393,1337659393,TRUE,447,TRUE,film & video/documentary,103,115.45,film & video,documentary,5/22/2012,6/26/2012,2012
289,"Audience Unlock: ""The UK Gold""",A campaign to unlock an award winning film that exposes for the first time the modern British Empire ... and it's terrible cost.,"$15,000.00 ","$15,723.00 ",successful,GB,GBP,1383389834,1380797834,TRUE,232,TRUE,film & video/documentary,105,67.77,film & video,documentary,10/3/2013,11/2/2013,2013
290,INTOTHEWOODS.TV – Music Media from the Pacific Northwest,"Help INTOTHEWOODS.TV purchase audio and video gear, lighting and BACK UP HARD DRIVES","$4,500.00 ","$4,800.80 ",successful,US,USD,1296633540,1292316697,TRUE,168,TRUE,film & video/documentary,107,28.58,film & video,documentary,12/14/2010,2/2/2011,2010
291,Zoe Goes Running - The Film: Running The Tour De France,Zoë Romano will be the first person to RUN the route of the Tour de France. I will join her to document that adventure.,"$5,000.00 ","$6,001.00 ",successful,US,USD,1367366460,1365791246,TRUE,128,TRUE,film & video/documentary,120,46.88,film & video,documentary,4/12/2013,5/1/2013,2013
292,The Undocumented,THE UNDOCUMENTED is a 90 cinema verite documentary that exposes a little known consequence of current U. S. immigration policy.,"$75,000.00 ","$76,130.20 ",successful,US,USD,1319860740,1317064599,TRUE,493,TRUE,film & video/documentary,102,154.42,film & video,documentary,9/26/2011,10/29/2011,2011
293,NELL SHIPMAN:GIRL FROM GOD'S COUNTRY FILM,The untold story of the first action-adventure heroine who left Hollywood with 70 abused animal actors to make  her films in Idaho,"$26,000.00 ","$26,360.00 ",successful,US,USD,1398009714,1395417714,TRUE,131,TRUE,film & video/documentary,101,201.22,film & video,documentary,3/21/2014,4/20/2014,2014
294,Spectacular Movements documentary film,"An amazing journey in Bolivia in a theater-truck.
The creative soul of social movements re-imagined.
The art of the youth of Teatro Trono in action.","$5,000.00 ","$5,000.00 ",successful,US,USD,1279555200,1276480894,TRUE,50,TRUE,film & video/documentary,100,100,film & video,documentary,6/14/2010,7/19/2010,2010
295,Rocky Horror Saved My Life - A Fan Documentary,"A documentary on the fans, collectors, and live performers of ""The Rocky Horror Picture Show"", as the film nears its 40th Anniversary.","$50,000.00 ","$66,554.56 ",successful,US,USD,1383264000,1378080409,TRUE,665,TRUE,film & video/documentary,133,100.08,film & video,documentary,9/2/2013,11/1/2013,2013
296,Bel Borba Is Here!,Bel Borba is Here is a feature film about the most inspiring Brazilian artist you've never heard of... until now.,"$25,000.00 ","$29,681.55 ",successful,US,USD,1347017083,1344857083,TRUE,129,TRUE,film & video/documentary,119,230.09,film & video,documentary,8/13/2012,9/7/2012,2012
297,Who Owns Yoga?,Who Owns Yoga? is a feature length documentary film that explores the changing nature of yoga in the modern world.,"$20,000.00 ","$20,128.00 ",successful,US,USD,1430452740,1427390901,TRUE,142,TRUE,film & video/documentary,101,141.75,film & video,documentary,3/26/2015,5/1/2015,2015
298,DisHonesty - A Documentary Feature Film,"The truth is, we all lie - and by ""we,"" we mean everyone!","$126,000.00 ","$137,254.84 ",successful,US,USD,1399669200,1394536048,TRUE,2436,TRUE,film & video/documentary,109,56.34,film & video,documentary,3/11/2014,5/9/2014,2014
299,ReMade: The Rebirth of the Maker Movement,We are currently filming a documentary called ReMade that explores the state and direction of the DIY and Hackerspace movement in America.,"$10,000.00 ","$17,895.25 ",successful,US,USD,1289975060,1287379460,TRUE,244,TRUE,film & video/documentary,179,73.34,film & video,documentary,10/18/2010,11/17/2010,2010
300,The Bus ,"THE BUS is a feature-length documentary film celebrating one of the most iconic and beloved vehicles ever produced, the Volkswagen Bus.","$25,000.00 ","$25,430.66 ",successful,US,USD,1303686138,1301007738,TRUE,298,TRUE,film & video/documentary,102,85.34,film & video,documentary,3/24/2011,4/24/2011,2011
301,WORLD FAIR,"A film about personal memory, amateur cinematography, and visions of the future at the 1939 New York World's Fair.","$13,000.00 ","$15,435.55 ",successful,US,USD,1363711335,1360258935,TRUE,251,TRUE,film & video/documentary,119,61.5,film & video,documentary,2/7/2013,3/19/2013,2013
302,(UN)CUT,"(UN)CUT explores circumcision’s medical, sexual & religious complexities against the backdrop of San Francisco’s latest ban controversy","$10,000.00 ","$10,046.00 ",successful,US,USD,1330115638,1327523638,TRUE,108,TRUE,film & video/documentary,100,93.02,film & video,documentary,1/25/2012,2/24/2012,2012
303,The Forest for the Trees,"The story of Jadab Payeng, an Indian man who single handedly planted nearly 1400 acres of forest to save his island, Majuli.","$3,000.00 ","$4,124.00 ",successful,US,USD,1338601346,1336009346,TRUE,82,TRUE,film & video/documentary,137,50.29,film & video,documentary,5/3/2012,6/2/2012,2012
304,Beyond Iconic: Distribution for film on Dennis Stock,A portrait of a life fully realized and a look at what it takes to make great photography.,"$3,400.00 ","$7,876.00 ",successful,US,USD,1346464800,1343096197,TRUE,74,TRUE,film & video/documentary,232,106.43,film & video,documentary,7/24/2012,9/1/2012,2012
305,My Friend Mott-ly,"A documentary that I am making about the difficult, but inspiring, life of a late friend of mine.","$7,500.00 ","$9,775.00 ",successful,US,USD,1331392049,1328800049,TRUE,189,TRUE,film & video/documentary,130,51.72,film & video,documentary,2/9/2012,3/10/2012,2012
306,Escape/Artist: The Jason Escape Documentary,A feature-length documentary on the life of Boston escape artist Jason Escape.,"$1,000.00 ","$2,929.00 ",successful,US,USD,1363806333,1362081933,TRUE,80,TRUE,film & video/documentary,293,36.61,film & video,documentary,2/28/2013,3/20/2013,2013
307,Grammar Revolution,Why is grammar important?,"$22,000.00 ","$24,490.00 ",successful,US,USD,1360276801,1357684801,TRUE,576,TRUE,film & video/documentary,111,42.52,film & video,documentary,1/8/2013,2/7/2013,2013
308,Before Us - a Feature Length Documentary about Adoption,A documentary about discovering my two older sisters who were born on a CA commune in the 60's and placed for adoption.,"$12,000.00 ","$12,668.00 ",successful,US,USD,1299775210,1295887210,TRUE,202,TRUE,film & video/documentary,106,62.71,film & video,documentary,1/24/2011,3/10/2011,2011
309,SOLE SURVIVOR FILM - Finishing Funds,A first glimpse into the lives of sole survivors of commercial plane crashes as they struggle to understand their perplexing fate.,"$18,000.00 ","$21,410.00 ",successful,US,USD,1346695334,1344880934,TRUE,238,TRUE,film & video/documentary,119,89.96,film & video,documentary,8/13/2012,9/3/2012,2012
310,Feels Like Coming Home Tour,30 day tour to release a compilation CD with 16 original songs about hometowns.  Webisodes and documentary to follow.,"$1,000.00 ","$1,041.29 ",successful,US,USD,1319076000,1317788623,TRUE,36,TRUE,film & video/documentary,104,28.92,film & video,documentary,10/5/2011,10/20/2011,2011
311,The Sticking Place Interactive Documentary,"An imaginative interactive documentary about Leah Callahan, a freestyle wrestler and Olympic hopeful.","$20,000.00 ","$20,820.33 ",successful,US,USD,1325404740,1321852592,TRUE,150,TRUE,film & video/documentary,104,138.8,film & video,documentary,11/21/2011,1/1/2012,2011
312,SparkTruck: stories from a cross-country maker journey,"The Kickstarter-funded SparkTruck has completed its 15,323 mile roadtrip. Now it’s time to share the story through a short documentary.","$8,000.00 ","$8,950.00 ",successful,US,USD,1365973432,1363381432,TRUE,146,TRUE,film & video/documentary,112,61.3,film & video,documentary,3/15/2013,4/14/2013,2013
313,DEVIL MAY CARE,Most people have heard Bob Dorough's music over the past 50 years without knowing it. Until now. A story for every artist who refuses to give up.,"$17,000.00 ","$17,805.00 ",successful,US,USD,1281542340,1277702894,TRUE,222,TRUE,film & video/documentary,105,80.2,film & video,documentary,6/28/2010,8/11/2010,2010
314,Making Mail: A Documentary,A documentary about artists who embrace the antiquated postal service and use it to send beautiful pieces of mail art across the globe.,"$1,000.00 ","$3,851.50 ",successful,US,USD,1362167988,1359575988,TRUE,120,TRUE,film & video/documentary,385,32.1,film & video,documentary,1/30/2013,3/1/2013,2013
315,Arias With A Twist: The Docufantasy,A documentary that explores  the magical collaboration between performance artist Joey Arias and puppeteer Basil Twist.,"$25,000.00 ","$25,312.00 ",successful,US,USD,1345660334,1343068334,TRUE,126,TRUE,film & video/documentary,101,200.89,film & video,documentary,7/23/2012,8/22/2012,2012
316,THE SECRET TRIAL 5 - GRASSROOTS CROSS-CANADA TOUR,Award winning documentary The Secret Trial 5 needs your help for a Cross-Canada Tour!,"$15,000.00 ","$17,066.00 ",successful,CA,CAD,1418273940,1415398197,TRUE,158,TRUE,film & video/documentary,114,108.01,film & video,documentary,11/7/2014,12/11/2014,2014
317,"Good Men, Bad Men, and a Few Rowdy Ladies","The story of a cowboy town with a prison problem, and the colorful characters who call it home.","$30,000.00 ","$30,241.00 ",successful,US,USD,1386778483,1384186483,TRUE,316,TRUE,film & video/documentary,101,95.7,film & video,documentary,11/11/2013,12/11/2013,2013
318,Friend Request: Accepted,"Photographer, Ty Morin, pays a visit to every single one of his Facebook friends to take their portrait...all 788 of them.","$5,000.00 ","$14,166.00 ",successful,US,USD,1364342151,1361753751,TRUE,284,TRUE,film & video/documentary,283,49.88,film & video,documentary,2/25/2013,3/26/2013,2013
319,EDIBLE CITY - a movie in the making,"A journey through the Bay Area food movement following farmers, cooks, activists, and educators who are fighting for food justice in their communities","$5,000.00 ","$5,634.00 ",successful,US,USD,1265097540,1257538029,TRUE,51,TRUE,film & video/documentary,113,110.47,film & video,documentary,11/6/2009,2/2/2010,2009
320,FOREVER PURE: A team spiralling out of control. DOCUMENTARY,Two Muslim football players transfer to the Jewish oriented Beitar Jerusalem F.C. leading to the most racist campaign in Israeli sport,"$20,000.00 ","$21,316.00 ",successful,GB,GBP,1450825200,1448284433,TRUE,158,TRUE,film & video/documentary,107,134.91,film & video,documentary,11/23/2015,12/22/2015,2015
321,An Impossible Project,"The more digital the world, the more analog our dreams.
A feature documentary shot on 35mm film.","$35,000.00 ","$35,932.00 ",successful,DE,EUR,1478605386,1475577786,TRUE,337,TRUE,film & video/documentary,103,106.62,film & video,documentary,10/4/2016,11/8/2016,2016
322,Last of the Big Tuskers,A documentary film about the largest elephants on earth and what is being done to ensure their survival.,"$25,000.00 ","$26,978.00 ",successful,US,USD,1463146848,1460554848,TRUE,186,TRUE,film & video/documentary,108,145.04,film & video,documentary,4/13/2016,5/13/2016,2016
323,White Ravens: A feature-length documentary film,A documentary focusing on the Haida Nation's resurgence in the wake of colonization and Canada's Indian Residential Schools.,"$5,400.00 ","$6,646.00 ",successful,US,USD,1482307140,1479886966,TRUE,58,TRUE,film & video/documentary,123,114.59,film & video,documentary,11/23/2016,12/21/2016,2016
324,KEEP MOVING FORWARD - Documentary Film,"A documentary about a Vietnam veteran who finds peace from his PTSD through Disney, rather than medication.","$8,500.00 ","$8,636.00 ",successful,US,USD,1438441308,1435590108,TRUE,82,TRUE,film & video/documentary,102,105.32,film & video,documentary,6/29/2015,8/1/2015,2015
325,NETIZENS - a documentary about women and online harassment,NETIZENS follows targets of online harassment as they confront digital abuse and strive for equality and justice online.,"$50,000.00 ","$52,198.00 ",successful,US,USD,1482208233,1479184233,TRUE,736,TRUE,film & video/documentary,104,70.92,film & video,documentary,11/15/2016,12/20/2016,2016
326,Love Letters for My Children - The Maggie Doyne Documentary.,"An inspiring story of love and resilience after tragedy strikes humanitarian Maggie Doyne, mother to 49 Nepali children.","$150,000.00 ","$169,394.60 ",successful,US,USD,1489532220,1486625606,TRUE,1151,TRUE,film & video/documentary,113,147.17,film & video,documentary,2/9/2017,3/14/2017,2017
327,Finding Beauty In the Rubble,"A short film documenting the inspirational life of Mrs. Fukuoka, a tsunami survivor helping to bring hope back to her community.","$4,000.00 ","$5,456.00 ",successful,US,USD,1427011200,1424669929,TRUE,34,TRUE,film & video/documentary,136,160.47,film & video,documentary,2/23/2015,3/22/2015,2015
328,Edgar Allan Poe: Buried Alive,"A documentary that tells the real story of the misunderstood author, and explores the iconic status he still commands today.","$75,000.00 ","$77,710.80 ",successful,US,USD,1446350400,1443739388,TRUE,498,TRUE,film & video/documentary,104,156.05,film & video,documentary,10/1/2015,11/1/2015,2015
329,Struggle & Hope - Documentary Film Music Soundtrack,Our documentary about Oklahoma's all-black towns needs a soundtrack that is authentic. Help us make it happen.,"$10,000.00 ","$10,550.00 ",successful,US,USD,1446868800,1444821127,TRUE,167,TRUE,film & video/documentary,106,63.17,film & video,documentary,10/14/2015,11/7/2015,2015
330,The Power of Place,A film project that will compel decision makers to conserve iconic NH landscapes at risk due to an electricity transmission project.,"$35,000.00 ","$35,640.00 ",successful,US,USD,1368763140,1366028563,TRUE,340,TRUE,film & video/documentary,102,104.82,film & video,documentary,4/15/2013,5/17/2013,2013
331,Living On Soul: The Family Daptone,"A hybrid music documentary/concert film featuring Sharon Jones, Charles Bradley and the rest of the Daptone Records family.","$40,000.00 ","$42,642.00 ",successful,US,USD,1466171834,1463493434,TRUE,438,TRUE,film & video/documentary,107,97.36,film & video,documentary,5/17/2016,6/17/2016,2016
332,Changing of the Gods,"A groundbreaking new film by Kenny Ausubel & Louie Schwartzberg, featuring John Cleese, based on the work of Richard Tarnas.","$100,000.00 ","$113,015.00 ",successful,US,USD,1446019200,1442420377,TRUE,555,TRUE,film & video/documentary,113,203.63,film & video,documentary,9/16/2015,10/28/2015,2015
333,CUBAN FOOD STORIES - A Feature Documentary,"Enter a unique world of flavors, passion, resourcefulness and breathtaking locations. Join us on this unprecedented journey!","$40,000.00 ","$50,091.00 ",successful,US,USD,1460038591,1457450191,TRUE,266,TRUE,film & video/documentary,125,188.31,film & video,documentary,3/8/2016,4/7/2016,2016
334,The Little Girl with the Big Voice,"An unapologetic portrait of the iconic, pioneering entertainer Mary Small whose voice comforted millions through the Depression & WWII","$10,000.00 ","$10,119.00 ",successful,US,USD,1431716400,1428423757,TRUE,69,TRUE,film & video/documentary,101,146.65,film & video,documentary,4/7/2015,5/15/2015,2015
335,New Mo' Cut: David Peoples' lost film of Moe's Books,"Oscar-nominated screenwriter David Peoples' lost film of Moe's Books is recycled into the hands of Moe's daughter, fifty years later.","$8,500.00 ","$8,735.00 ",successful,US,USD,1431122400,1428428515,TRUE,80,TRUE,film & video/documentary,103,109.19,film & video,documentary,4/7/2015,5/8/2015,2015
336,Celluloid Wizards in the Video Wasteland,"An epic documentary about the dramatic rise and fall of Empire Pictures, the most ambitious B-movie studio of the 1980’s.","$25,000.00 ","$29,209.78 ",successful,US,USD,1447427918,1444832318,TRUE,493,TRUE,film & video/documentary,117,59.25,film & video,documentary,10/14/2015,11/13/2015,2015
337,Slingers - A Documentary about Small Town Beekeepers.,A documentary that tells the story of local beekeepers. Specifically one family who turns their annual harvest into a community event.,"$3,000.00 ","$3,035.05 ",successful,US,USD,1426298708,1423710308,TRUE,31,TRUE,film & video/documentary,101,97.9,film & video,documentary,2/12/2015,3/14/2015,2015
